Review Text,Sentiment Score,Sentiment,sentiment_strength
filled redundant balderdash extremely dumbeddown slowpaced offends learner,0.2,Neutral,Weak
fantastic wellstructured course talented instructors techniques mentioned changed life,0.93,Positive,Strong
honest techniques cannot found many places difference explain science behind techniques terms practical application useful,0.51,Positive,Strong
helpful discussion spaced repetition boosted confidence applications like duolingo memrise helped discover anki pomodoro technique nice know though rarely used far think already point dont need actual pomodoro timer get mindset best two things probably got course changing way thinking focusing product focusing process though always possible course using recall test know rather reading things hoping gone didnt like course presentation style pace content density low opinion irrelevant information handwavey explanations absolute worst full recommendation using analogies attempt explaining make good anaologies key analogies come across misleading aspects thing narrow scope sometimes thing usually make youre first learning thing unless youre teaching without knowing make good anaologies good memory average bad understanding dont think stressed enough,0.3,Neutral,Weak
practical tips neuroscience title course widely discussed title implies tools learning didnt get anything useful course,0.3,Neutral,Weak
videos arent good quality tools arent concrete enough useful enough material hope improve subject interesting,0.45,Positive,Weak
course expected learn course explaining skills educators course great thank educators drbarbara oakley terrance sejwoniski,0.65,Positive,Strong
course useful information think little superficial focused studying exams instead focused studying professional life intelectual self development,0.25,Neutral,Weak
course mandatory unfortunatly found examples used brain activety etc raping neuroscience given background field understand methods work let people understand octopus brain stuff take look summary videos could exams without problems chuckles wrong answers positive feedback give also brings joy see really enjoy sincerely jelle de poel,0.56,Positive,Strong
dear professorsinstructorstasmoderatorscoders good start work early time rude send emailsnotificationsgreetingsreminders earlylate time eg pm moment waked frequently emails include big deal,0.32,Neutral,Weak
much grateful video find videos much boring concepts new well believe rating giving honest feedback would help community,0.13,Negative,Weak
course showed powerful tools enhance performance achieve better life quality children future students also positively influenced course thanks lot,0.51,Positive,Strong
great learning course brought clear understanding strong structure learn effective regret one didnt passed course started learning school,0.83,Positive,Strong
thanks great course points make better per pov update bit new visuals feels like studying test qas sometimes easy even dont know material easily guess might create illusion competence haha,0.7,Positive,Strong
begin found course boring gave chance second week didnt get much interesting giving lazy able learn content doesnt bring much continue sorry speakers tried best creative,0.31,Neutral,Weak
completed honours assignment certificate mentioned term honours policy coursera said say put much effort worth give honors certificate give stars,0.51,Positive,Strong
point questioned brains hability hold information felt frustrated able retain information effectively ended felling wasted time studying something weeks later would forgotten however taking wonderful extremely useful course aware problem ability learn something related brain instead realized using right tools enhance learning process achieve better results learning important tool develop mastery field unfortunately school though learn course without doubt provides deep understanding brains memory works importantly provides several tools easily applicable learning subject increasing changes succeed thanks lot dr barbara oakley dr terrence sejnowski sharing powerful knowledge tools,0.41,Neutral,Weak
useful topic treat procrastination course noticed time study thought happened could tackle procrastination topics focus mode defuse mode selftesting working memory longterm memory interesting useful thank,0.68,Positive,Strong
kind opening eyes link long term memory sleep course wellconducted lecturers wellexplained interviewed guests interesting,0.65,Positive,Strong
interesting insights coinciding experience learning learnt languages particularly part chunking really good one hand week focusing pass test opinion jumbled previous material passing test doesnt mean knowledge means ability pass test half questions used final quiz shows course tried develop chunks recommending make students memorize content video without checking whether content actually understood chunked real knowledge better name course would learning learn academically appreciate nonacademical knowledge kids master native language without getting ability teach true knowledge even though farewell video prof sejnowski equalized ability teach knowledge,0.38,Neutral,Weak
course targets mostly students audience people aim selfdevelopment passed academic study long time ago therefore information concerning learning process somehow much basic time quite useful aware facts didnt also suit lack structure bit confusing videos explaining different concepts brain structure functioning seemed much scientific frame course really hit interest enthralling optional interviews different scientists talented people really motivating inspiring,0.41,Neutral,Weak
good material high school college university students enough serious applications business people researchers course challenges things properly addressed relationship learning emotions meaning skills depvelopment vs academic learning drugs supplements good improve learning besides exercise info subconscious emotions impact learning please include links need pay subscribe nyt thks,0.37,Neutral,Weak
ableist language unforgivable course designed speak learning example adhdlike example evr high iq seemed normal ruined making bad financial decisions bad social interactions autistic adhd neurodivergent way course harmful helpful unique beautiful way thinking aided space also overly glamorize math science scientist still thought poor choice,0.1,Negative,Weak
first chapter pretty good everything else obvious things check summaries see learn breaks sleep well sport dont forget repeat whatve learnt interesting facts worth spent time,0.54,Positive,Strong
part partly interesting usefull rest vain,0.86,Positive,Strong
useful,0.58,Positive,Strong
nul de chez nul,0.15,Neutral,Weak
finished course must say curiosity led take course learning learn said learn learn finished course totally agree everyone needs learn learn simplified young minds course actually taken grade school thinks lot students make straight thought saying goes feel knows experience knowledge instructors dr barbara oakley dr terrence sejnowski coupled outline presentation video helps may use language course interleaving seemingly related different ideas using metaphors analogies course many things take granted movements seeing hearing even blinking etc enigmatic power brain process many details within minutes power thoughts change person concept mapping chunking procrastination pomodoro technique think without realising actually techniques cues procrastination etc much learn short course explained one used opportunity lockdown opened eye willing take courses also introduced course people young old recharge brains difference learnt years school university experience life taste pudding curiosity thoroughly satisfied deeply appreciate instructors coursera team members involved making course available online thank,0.38,Neutral,Weak
truly incredible course rewarding experience learn brain works opens many doors life know brain works least understand certain kind feeling sometimes cant understand feeling discomfort brains signal coming subconcious messed something look youve goofed make correct learned pain incredibly powerful tool created nature mean know something bad happened theres painboth physical mental natures way grabing attention address problem next time careful repeat mistake pain anger frustration really powerful feelings wonders life acknowledge existence path towards truth like one optional interview weve seen pain grandmothers death due alzheimer motivated nelson dellis become memory champion course also helpful people dealing depression social anxiety ptsd chronic fear much dealing problems creates lots confusion certain kind feeling internet incredibly powerful tool used smartly cant believe access high quality material free thank barbara oakley maam terry sejnowski sir coursera team people associated course,0.34,Neutral,Weak
exceptional course work personal development years example read scott h young decade ago interviewed mentioned great see one teachers featured bachelors masters degree recently got hard certifications aws cloud architect developer needed way even learn efficiently future work career personal life ii want learn davinci resolve video cutting improve photography photoshop lightroom mentioned working towards personal dvelopment years read though books pages blog posts never retained much info tools retain info test use spaced repetition retain decade discuss wife even deepen knowledge use pomodoro techniques really courses percent loose interest thanks barbara terence great course lifechanger even already gained much knowledge past years earth course mandatory every school education world explains process learning focused product wish knew course even years,0.31,Neutral,Weak
comprehensive course subject learning used researchbacked methods taught course improve learning gain better understanding material studying adultlifelong learner use techniques course retain lot daily reading various subjects also strongly recommend everyone mathscience majors reading dr barbara oakleys mind numbers useful complementary text course,0.41,Neutral,Weak
helpful course good content good presenation well worth time spent working lessions thanks spending time effort create course barabara terry,0.66,Positive,Strong
course really good learnt alot learning wished took something like starting university also helps learn new things finally dont feel stupid,0.17,Neutral,Weak
thhiiss course really helpfull brings lot bennefit student wants develope brain capacities thanks lot authors recomend every person know,0.44,Neutral,Weak
information useful extremely mean extremely general much none really included practice students try apply concepts learned course also couple videos discussing brain chemistry could removed completely without effect rest course like watching movie several seemingly important plot lines given time mentioned ever rest movie reason course took month ive watching course videos quizzes ipad walking treadmill gym times week ive spent time outside gym imagine quickly could actually sat dedicated time study whole thing could finished days max instead weeks thats generous ive enjoyed course liked way information presented lady instructor ive increased knowledge information absorbed brain problems solved use couple techniques work studies would pay money certificate course,0.39,Neutral,Weak
meh appreciated new perspectives learning smaller chunks video assignments allowed spread work week thanks learning learning phrase fine course introduction final module became annoying closing phrase every video dr sejnowskis skills reading teleprompter distracted suggest practice redoing videos tp wont distraction watching eyes track back forth didnt,0.18,Neutral,Weak
based reviews read expectations course pretty high however course ended basic didnt learn new learning technique think people googled study methods least already familiar methods introduced course material may useful someone totally new studying even would recommend taking learn much less time watching youtube videos reading brief guides procrastination learning techniques quality course also disappointing volume video jumped across lessons different speakers took lead surprised see theres much hype around course despite simplistic content poor quality ive taken dozen courses coursera far one doesnt even come close best ones took id recommend finding something better invest time,0.25,Neutral,Weak
really didnt help test questions answers jumbled hard understand found extremely difficult follow along videos made quizzes much harder good course organized everything people saying sounded exactly like last one good idea concept well prepared,0.32,Neutral,Weak
interesting information presented could potentially helpful students teachers curriculum developers however little practical value beyond simple statements eg spread studying several days trying remember better rereading additionally course practise model preaches,0.35,Neutral,Weak
irony learn learn course teaches nothing whats worse vague references dubious likely apocryphal tales late geniuses supposedly solved problems instead teaching science based learning techniques teaching folk tales secretes geniuses dont waste time embarrassment come expect far better coursera,0.0,Negative,Weak
definitely course someone finished higher degree youve done theres big change already know techniques presented thous course,0.27,Neutral,Weak
water water selling books personalities,0.15,Neutral,Weak
didnt get certificate even completion,0.15,Neutral,Weak
learning learn rekindled passion teaching preparing students tests teacher academic english test preparation motivating students understanding methods would work better quite struggle thanks course knowledge share learners also apply learning path course starts explanation human brain thinking patterns without boring yet including nittygritty foundations learning analogies used videos wonderful teachers course helped understand complex brain processes simplified comprehensible manner videos include physiology brain relevance sleeping exercise forming new learning opportunities brain also tons tips suggestions preparing tests acquiring new knowledge retaining information teachers explain especially ms barb oakley thinking certain strengths weaknesses leads thinking way taking measures learn good quite opposite teachers guide step step ideal learning process,0.41,Neutral,Weak
wish known entering college university content feels like common sense way knew steps take learn better however course reinforces information well logic explanation passion excuses make deny procrastination something understand avoid learning certainly individuals willpower consciously plan schedule break goals stick goals importantly consistent taking daybyday approach never forget look big picture conversely dont focus product enjoy trust process simply reading new passage today go long way step back realise far go gone completing simple pomodoro today thank professors enjoyable learning experience first step taking reinforce learning course onto learning academics thank coursera making course free accessible,0.39,Neutral,Weak
course lifechanging must took took around week half complete average work hours per day yearold student residing developing country knowledge get gold especially stage life lectures effective fun simple understand barbara barb also really kind transmit much peace assignments easy pay attention videos case would recommend challenging creative improve experience additional resources great people wanna deepen knowledge information based solid professional research made phd professors scientists american universities important knowledge get applicable every educational area life academic purposes forever thankful barbara oakley barb oakley terry sejnowski lhtl team coursera opportunity greetings paraguay,0.49,Positive,Weak
chronic procrastinator usually get work done stressful way possible ive never found motivation get past excuses make starting earlier even researching many study techniques hacks course amazing explaining reasons commonly praised techniques work terms brain actually functions example heard revising longer intervals help remember information contrast barbara oakley explains spaced repetition consolidate information shortterm memory longterm memory information wont considered unimportant erased neural networks knowing techniques work really motivates actually use themi learnt many new approaches studying life general lhtl highly recommend way boost productivity minimise stress feel better process studying something look forward theres framework behind,0.24,Neutral,Weak
im almost year old lifetime learner even though psychology honor student never fully connected dots speak persons brain wired similarly yet still retains unique characteristics abilities even thoughi background college major studies still discovered ones internal mental attitudes beliefs play role helping improve individuals learning enthusiastically recommend course stand alone self improvement genre course well whole series courses build upon one another offered application coursera throughly enjoyed professors guest speakers videos especially format delivered whole course joy beginning end extra tools toolbox apply toward future learning throughout remainder learning lifetime time money well spent receive certificate,0.37,Neutral,Weak
great course effective efficient got good sources various optional interviews help learners get insight others perspectives experiences course videos would exceed minute duration making easier watch nobody really worried lack time quizzes effective straightforward dont really get frustrated quizzes usually course fun experience done short time period even though says week duration course one even possibly finish days finished course four week deadline fact selfpaced course benefits dont stress course deadlines timings etc also helps manage time effective manner good way keep busy whenever nothing else going also good way learn something general thirst knowledge,0.55,Positive,Strong
course truly lifechanging took order solidify studying habits started engineering recently since canadian schools quite mathintensive rigorous program learning learn seemed like mustdo im neckdeep exams homework current student learner course definitely something anyone want improve longterm memory reduce time spent studying assimilate amount information honest opinion one best parts course easily follow transit part would download weeks lessons time listen walking bus riding course missed information using focused attention much time homework home learn learn elsewhere thank much building incredible course thank even making free tldr take course,0.62,Positive,Strong
decided take several online courses help advance career new subjects school problem passing tests needed dont feel retained knowledge well classmates semester tests nowadays real life projects completed kept procrastinating last minute rather stressful handle work responsibilities way grateful course provides many practical techniques utilize daily work selflearning plans avoid procrastination retain learned make weeklydaily learning plans highly recommended anyone serious learning looking strategies learn effectively,0.35,Neutral,Weak
mind numbers,0.15,Neutral,Weak
spent hours study able recollect topics taking course started applying learnning techniques discussed course foucsed mode diffused mode thourgh pomodora technique deliberate practice spaced learning even started pomodoro technique office work already produced great results completing tasks time realized importance task lists superior always way also implementing work activities task list great way free working memory prioritozing imporatant works thanks coursera providing wonderful course offering free cost,0.89,Positive,Strong
someone taken science everyday thinking edx thought thered online courses insightful transformative broadly applicable life discovered learning learn coursera although share similar advice tips lhtl much indepth look human brains way absorbing processing information neuroscientific point view mention instructors highly respected excellent presenting knowledge throughout whole course genuinely hope course reach people trying lead productive meaningful life,0.48,Positive,Weak
learning learn course profoundly impacted personally professionally introduced effective study techniques like spaced repetition active recall enhanced ability master complex translation concepts retain intricate details strategies improved efficiency also deepened understanding nuanced language pairs personally course helped build better study habits manage time effectively tackle challenging material greater confidence overall gamechanger refining translation skills boosting learning capabilities,0.48,Positive,Weak
course provides excellent strategies improve memory learning increase understanding without spending hours studying material addition course instructors waffle get point fast course feel heavy boring learn large amount valuable material covered tonne eclectic resources provided learners go deep want improving developing learning techniques guidance course highly recommend educators well learners,0.23,Neutral,Weak
really loved course wasnt love first sight course first date didnt catch progressed became interested finally loved course recommend people ages constantly learning throughout life recommend parents way guide children much better learning process would loved know material long never late learned lot thank,0.66,Positive,Strong
course much better expected many insightful concepts treated tips techniques learn better also fundamental concepts learning process works avoid common vices fall commonly trying learn something new impressed course also thankful people involved creation thank,0.49,Positive,Weak
instructors exceptional going course reminded used study high school aced pretty easily lost way trying get back past times preparation grad school course really reinforced resolve provided tools need perform best going forward thank prof oakley dr sejnowski,0.59,Positive,Strong
thank course ive structured learning environment course instilled good learning habits anybody one two pomodoro knowing behind habits helped brain gets foggy step away books computer go something else allows switch brain different mode,0.3,Neutral,Weak
course really beneficial amazed every statement based proven scientific facts use every piece knowledge course real life could stop return video day day finished really first course coursera completed appreciate authors amazing work look forward part ii,0.59,Positive,Strong
far one best personal development courses ive completed hope would found course earlier careerthis highly recommended anyone especially students path learning learn learnim going ask daughter take course wellthanks dr oakley dr sejnowski design course,0.45,Positive,Weak
brilliant course taught much sometimes skeptical suggested switching focused diffused mode thinking solve problems tried really works chunking memory testing procrastination avoidance etc covered techniques used allow really learn master subject,0.35,Neutral,Weak
best mooc course taken ever congratulate dr barbara oakley dr terrence sejnowski putting together learnt much brain learn humans overcoming procrastination monster helpful tips pass tests interviews rate stars ok ok theres star rating im giving five,0.93,Positive,Strong
course amazing would recommend anyone professors barbara maam terry sir engaging really friendly tips given avoid illusion competence procrastination really proved helpful looking better ways learn make study time course,0.75,Positive,Strong
course great see one important web learned help videos lectures interesting well planned used new knowledge day day like university career hope better person achieving objectives goals,0.82,Positive,Strong
course simply amazing wish learning techniques taught school course content highly practical delivered interactive manner review questions good helpful recalling previous videos found additional interviews motivating well,0.61,Positive,Strong
course absolutely amazing students career oriented people use daily life go course find changing wrong patterns habits good beneficial ones resulting far better fruitful life take course sort eye opener,0.48,Positive,Weak
course helped lot showed mistakes making years studies also helped confirm right keep important understand brain works wish taught things school never late,0.55,Positive,Strong
lifelong learner found course extremely usefulit worthy investing time learning learni gained noteworthy takeaways coursegrateful droakley drsejnovski excellent teachingmuch appreciated interviews associated coursehighly recommended everyo,0.52,Positive,Strong
course lot good information found course well worth time think content anything totally new explain ideas way gave deeper knowledge better understanding use information improve learning,0.73,Positive,Strong
wonderful course understand build sessions different learners incorporate learning maximising learning student perspective think lot done school forget adult learners still need child comes learning,0.68,Positive,Strong
think human constantly learning sometimes learn hard may necessarily effective course learned scientific reasons techniques effective also learned simple techniques apply learning process,0.37,Neutral,Weak
wish known study techniques back high school college late know looking forward share learned also confident still learn new thing thanks sharing learning learn,0.32,Neutral,Weak
course illustrated effectively many enhanced approaches successful learning processes based neuroscience proven methodologies recommend course others find usual approaches studying learning less satisfactory,0.45,Positive,Weak
course really helpful course suggest everyone go course enrolling course learning know properly learn course help achieve skill,0.3,Neutral,Weak
course amazing know brain control looking forward learn new amazing stuffs using techniques learned course thank much make course like,0.69,Positive,Strong
course opened mind understand better ways learn respect process learning focused product love thanks barbara share knowledge free really appreciate,0.66,Positive,Strong
wish would taught schools early age many fail many dont frame study rely course help grounded study habit works,0.37,Neutral,Weak
course gave new perspective approach learning anything new would loved aware concepts ideas discussed chapters still school,0.59,Positive,Strong
practical simple outlines relatable misconceptions provides clear solutions ill surely apply learning goals asap filler videos interesting anyway,0.32,Neutral,Weak
need thank everybody make course done really one helpful courses ever join think life different course say im good learner,0.58,Positive,Strong
course helpful debunk false beliefs wrong thing youre life also help understand brain make good learner,0.06,Negative,Weak
course give new perspective learning give new spirit motivation start learning years get graduated college feel dont master study material,0.35,Neutral,Weak
amazing course ive many techniques presented without ever knowing much im glad took class insightful helpful,0.9,Positive,Strong
terrific great overview basics learning memory complemented practical tips beating procrastination effective studying test taking great course,0.93,Positive,Strong
great course matter old help understand better learn better student retain information love,0.83,Positive,Strong
informative course taught high school college students recommend course anyone want improve learning skills,0.38,Neutral,Weak
plenty userful information brain works terms learning lots userful tricks organize much efficient possible,0.3,Neutral,Weak
information course useful student teacher ive learned lot changed way learning teaching thank,0.58,Positive,Strong
course remarkably densely packed concrete techniques excited apply already starting apply learning,0.61,Positive,Strong
knew learning could fun school years great course take ease back,0.68,Positive,Strong
anyone interested improving ability learn take course stands alone single best resource available,0.7,Positive,Strong
basic skill life everyone learn learn skill avoid procrastination amazing,0.58,Positive,Strong
really refreshing simple course said must skill simplicity hard acquire nowadays,0.25,Neutral,Weak
course helps much someone follows course outline definitely shehe learn something great joy,0.79,Positive,Strong
interesting fun cant leave without feeling understanding learning changed better,0.76,Positive,Strong
must say amazing new insights brain really provide many tips better learning,0.7,Positive,Strong
amazing course course must everyone instructors friendly knowledgeable,0.85,Positive,Strong
il est trs bien ce cours jai eu des conseils pour stimuler mmoire et viter la procrastination,0.15,Neutral,Weak
course provided helpful practical guidance implementation effective learning techniques,1.0,Positive,Strong
really useful informative course practical tips wished aware years ago,0.55,Positive,Strong
course helpful really start applying techniques learning,0.44,Neutral,Weak
great course everyone willing live better life thank much,0.69,Positive,Strong
course short simple yet extremely powerful definitely worth time,0.37,Neutral,Weak
high school teacher learned much thought would thank,0.41,Neutral,Weak
best courses instructors amazing thank much,1.0,Positive,Strong
stellar course regrets taking happy learned,0.61,Positive,Strong
loved quiz questions answers correct one hilarious,1.0,Positive,Strong
like much helpful material thank,0.44,Neutral,Weak
coursee awesome learned many new things,0.93,Positive,Strong
world needs courses like thank much,0.44,Neutral,Weak
amazing useful courseits really help,0.68,Positive,Strong
really help learning,0.44,Neutral,Weak
informative super useful,0.61,Positive,Strong
love learning learn,0.86,Positive,Strong
fantastic thank,0.72,Positive,Strong
interesting useful,0.72,Positive,Strong
powerful mental tools,0.3,Neutral,Weak
amazing,1.0,Positive,Strong
taken two dozen online courses wide range subject excellent course filled universal practical skills insights make learning potential subject discipline useful tools tips provided overcome prevalent bad habits ingrained behavior impede learning material presented primarily short video lectures less minutes plain spoken english accessible high school students yet useful scholars lifelong learners age level lectures supported abundant supplemental optional videos learning experts scholars along reading popular articles professional literature lectures comprehensively documented references regret didnt learn taught early academic career,0.31,Neutral,Weak
great content poor presentation mostly interesting youngnew students especially last part practical tips better learn study take tests first parts insightful functioning brain memory works,0.54,Positive,Strong
really amazing first journey coursera content provided course exquisite understood key mistakes make learning obstacles face studying mrs barbara oakley hats,0.66,Positive,Strong
fantastic quizzes really helpful lectures extended unnecessarily like famous scientist big name babara mentioned read biography,0.35,Neutral,Weak
pienso que las entrevistas opcionales fueron de gran valor lo nico que cambiara sera el diseo se hizo un poco anticuado,0.15,Neutral,Weak
informative groundbreaking nice place start youre sure coursera,0.93,Positive,Strong
nice explanation,1.0,Positive,Strong
really theoretical course really sure much use real life lets see,0.46,Positive,Weak
content nice useful techniques scientific foundations barbara video reminds us name strange arrows unpleasant sound start videos chunking lot things understand production part overall course worth taking x speed,0.34,Neutral,Weak
found difficult navigate within course style course modern felt difficult follow whole program might also linked level english might good enough considering technical vocabulary used program however interesting concrete tips learn,0.25,Neutral,Weak
excellent course undergrads high school students much depth knowledge learning strategy higher levels education teachers show mastery subject matter though presentation style genuine naturally animated point may feel boring,0.32,Neutral,Weak
interesting enough previous experience techniques learn different modes learning focused diffuse learn rememberingrecalling testing learning mistakes using metaphors analogies understand concepts,0.27,Neutral,Weak
lot nice information brain ways study whole course way procrastinating feel like could summed really much better written text finished much faster rate,0.69,Positive,Strong
really useful basic stuff know common sense could done less time tip try exams without watching videos see type course,0.1,Negative,Weak
school focused wish version help people arent tested thought would information find useful information instead remembering presented,0.58,Positive,Strong
instructors may well versed fields felt course took long get meat issue suppose wanted fasterpaced course without lot handholding,0.08,Negative,Weak
good course think better deeply understand deep inside self know things maybe daily life,0.49,Positive,Weak
although ideas useful lectures overloaded side stories obvious things think course would best students primary school,0.76,Positive,Strong
didnt learn much expected learning learn maybe expectations high,0.2,Neutral,Weak
really basic interesting stuff could reduced third time,0.39,Neutral,Weak
basic useful students high school professionals,0.37,Neutral,Weak
extremely easy sparse content,0.76,Positive,Strong
want exciting,0.58,Positive,Strong
unstructured information lot metaphors water information spread several videos could fit videos bad quality sound visual brain resources used balance chaos jumping volume images instead memorizing information,0.18,Neutral,Weak
decepciona la falta de traduccin al espaol puedo responder las preguntas porque ingls espero se solucione este problema para continuar gracias lidia menares,0.15,Neutral,Weak
many wasteoftime videos little information information contain nuanced room varying neurotypes,0.38,Neutral,Weak
decent basic overview know nothing subject probably useful children adolescents,0.25,Neutral,Weak
didnt want take course cannot figure get deleted course list,0.15,Neutral,Weak
interesting course nothing new besides pomodoro technique,0.61,Positive,Strong
hay buena traduccin,0.15,Neutral,Weak
